index,Disease,Disease_Code,State,Year,Gender,Age,Age_Code,STD_Cases,Population,Rate_per_100K
35086,Gonorrhea,280,Missouri,2001,Female,0-14 years,0-14,181,566558,31.95
35087,Gonorrhea,280,Missouri,2001,Female,15-19 years,15-19,1799,200993,895.06
35088,Gonorrhea,280,Missouri,2001,Female,20-24 years,20-24,1469,194313,756
35089,Gonorrhea,280,Missouri,2001,Female,25-29 years,25-29,526,177937,295.61
35090,Gonorrhea,280,Missouri,2001,Female,30-34 years,30-34,259,192140,134.8
35091,Gonorrhea,280,Missouri,2001,Female,35-39 years,35-39,153,215754,70.91
35092,Gonorrhea,280,Missouri,2001,Female,40+ years,40+,124,1346806,9.21
35093,Gonorrhea,280,Missouri,2001,Female,Unknown,99,29,,
35094,Gonorrhea,280,Missouri,2002,Female,0-14 years,0-14,112,562025,19.93
35095,Gonorrhea,280,Missouri,2002,Female,15-19 years,15-19,1818,200504,906.72
35096,Gonorrhea,280,Missouri,2002,Female,20-24 years,20-24,1634,200302,815.77
35097,Gonorrhea,280,Missouri,2002,Female,25-29 years,25-29,632,178000,355.06
35098,Gonorrhea,280,Missouri,2002,Female,30-34 years,30-34,275,194047,141.72
35099,Gonorrhea,280,Missouri,2002,Female,35-39 years,35-39,167,209187,79.83
35100,Gonorrhea,280,Missouri,2002,Female,40+ years,40+,162,1366684,11.85
35101,Gonorrhea,280,Missouri,2002,Female,Unknown,99,10,,
35102,Gonorrhea,280,Missouri,2003,Female,0-14 years,0-14,117,566645,20.65
35103,Gonorrhea,280,Missouri,2003,Female,15-19 years,15-19,1742,200876,867.2
35104,Gonorrhea,280,Missouri,2003,Female,20-24 years,20-24,1632,203440,802.2
35105,Gonorrhea,280,Missouri,2003,Female,25-29 years,25-29,649,179109,362.35
35106,Gonorrhea,280,Missouri,2003,Female,30-34 years,30-34,283,190412,148.62
35107,Gonorrhea,280,Missouri,2003,Female,35-39 years,35-39,187,199891,93.55
35108,Gonorrhea,280,Missouri,2003,Female,40+ years,40+,169,1381647,12.23
35109,Gonorrhea,280,Missouri,2003,Female,Unknown,99,15,,
35110,Gonorrhea,280,Missouri,2004,Female,0-14 years,0-14,145,556376,26.06
35111,Gonorrhea,280,Missouri,2004,Female,15-19 years,15-19,1823,201551,904.49
35112,Gonorrhea,280,Missouri,2004,Female,20-24 years,20-24,1766,206920,853.47
35113,Gonorrhea,280,Missouri,2004,Female,25-29 years,25-29,712,185477,383.88
35114,Gonorrhea,280,Missouri,2004,Female,30-34 years,30-34,325,190335,170.75
35115,Gonorrhea,280,Missouri,2004,Female,35-39 years,35-39,192,195604,98.16
35116,Gonorrhea,280,Missouri,2004,Female,40+ years,40+,169,1407503,12.01
35117,Gonorrhea,280,Missouri,2004,Female,Unknown,99,7,,
35118,Gonorrhea,280,Missouri,2005,Female,0-14 years,0-14,143,551563,25.93
35119,Gonorrhea,280,Missouri,2005,Female,15-19 years,15-19,1974,202673,973.98
35120,Gonorrhea,280,Missouri,2005,Female,20-24 years,20-24,1778,206718,860.11
35121,Gonorrhea,280,Missouri,2005,Female,25-29 years,25-29,713,192549,370.3
35122,Gonorrhea,280,Missouri,2005,Female,30-34 years,30-34,358,187612,190.82
35123,Gonorrhea,280,Missouri,2005,Female,35-39 years,35-39,185,194595,95.07
35124,Gonorrhea,280,Missouri,2005,Female,40+ years,40+,179,1428501,12.53
35125,Gonorrhea,280,Missouri,2005,Female,Unknown,99,4,,
35126,Gonorrhea,280,Missouri,2006,Female,0-14 years,0-14,141,567308,24.85
35127,Gonorrhea,280,Missouri,2006,Female,15-19 years,15-19,2134,201137,1060.97
35128,Gonorrhea,280,Missouri,2006,Female,20-24 years,20-24,1941,201043,965.47
35129,Gonorrhea,280,Missouri,2006,Female,25-29 years,25-29,788,205023,384.35
35130,Gonorrhea,280,Missouri,2006,Female,30-34 years,30-34,354,179637,197.06
35131,Gonorrhea,280,Missouri,2006,Female,35-39 years,35-39,190,193039,98.43
35132,Gonorrhea,280,Missouri,2006,Female,40+ years,40+,196,1440811,13.6
35133,Gonorrhea,280,Missouri,2006,Female,Unknown,99,8,,
35134,Gonorrhea,280,Missouri,2007,Female,0-14 years,0-14,95,571655,16.62
35135,Gonorrhea,280,Missouri,2007,Female,15-19 years,15-19,1999,202081,989.21
35136,Gonorrhea,280,Missouri,2007,Female,20-24 years,20-24,1877,196132,957.01
35137,Gonorrhea,280,Missouri,2007,Female,25-29 years,25-29,824,209533,393.25
35138,Gonorrhea,280,Missouri,2007,Female,30-34 years,30-34,339,179333,189.03
35139,Gonorrhea,280,Missouri,2007,Female,35-39 years,35-39,165,193959,85.07
35140,Gonorrhea,280,Missouri,2007,Female,40+ years,40+,178,1454700,12.24
35141,Gonorrhea,280,Missouri,2007,Female,Unknown,99,4,,
35142,Gonorrhea,280,Missouri,2008,Female,0-14 years,0-14,89,572184,15.55
35143,Gonorrhea,280,Missouri,2008,Female,15-19 years,15-19,1644,201433,816.15
35144,Gonorrhea,280,Missouri,2008,Female,20-24 years,20-24,1556,196300,792.66
